date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:58	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:08:54%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=184	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexa3d0.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:08:58	428138/428138	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:08:55%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=176	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index823b.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:00	428152/428152	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:08:56%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=178	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index28d0.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:01	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:08:58%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=185	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index71ce.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:07	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:04%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=187	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index5eb7.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:07	428160/428160	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:04%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=190	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index37b6.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:09	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:06%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=192	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexcb1e.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:11	428153/428153	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:06%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=195	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index8074.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:16	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:13%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=196	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index8dd1.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:17	428149/428149	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:13%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=200	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index51f2.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
